Nombre Comercial,Modelo,Funciona,Bandas,Provincias,Observaciones
iP4,4S,Sí,"2G, 3G",,
iP5,5C,Sí,"2G, 3G, 4G",,iP5 GSM /4g (Segun Lo Testeado)
iP5SE to iP13 Pro Max,,Sí,"2G, 3G, 4G",,El que no Levante . Upgradear.
Xiaomi,,Sí,"2G, 3G, 4G",,
A013M Claro,,Sí,"2G, 3G, 4G",,
A015A At&t,,Sí,2G,,
A015AP,,Sí,4G,,
A015V,,Sí,2G,,
A015AZ,,Sí,2G,,
A015T1,,Sí,2G,,
A015U,,Sí,2G,,
A015M At&t,,Sí,"2G, 3G, 4G",,
A022G/DS,,Sí,"2G, 3G, 4G",,
A025U Boost,,Sí,3G,,
A025U Metro,,Sí,"2G, 3G",,
A025U Tmb,,Sí,"2G, 3G, 4G",,La 4g q muestre Consume las 3g
A025U1 XAA,,Sí,"2G, 3G",,
A025A At&t,,Sí,2G,,
A025F,G,Sí,4G,,
A127DL,,Sí,"2G, 3G, 4G",,
A032M,,Sí,"2G, 3G, 4G",,
A032F,,Sí,"2G, 3G, 4G",,
A037W Canada,,Sí,"2G, 3G",,
A037U1/DS,,Sí,"2G, 3G",,
A037U Cricket,,Sí,"2G, 3G",,
A037U App,At&t Prepaid,Sí,"2G, 3G, 4G",Guanabacoa,Levanta 2G y 4G  Testeado en Guanabacoa
A037U Dsh,Dish Network,Sí,"2G, 3G",,
A115AP,,Sí,4G,,
A115AZ Cricket,,Sí,"2G, 4G",,
A115U All Carrier,,Sí,"2G, 3G, 4G",,
A125U/U1 All Carrier,,Sí,"2G, 3G, 4G",,
A125F,,Sí,"2G, 3G, 4G",,
A125M Altice,,Sí,"2G, 3G, 4G",,
A127F/DS,,Sí,"2G, 3G, 4G",,
A127M/DS,,Sí,"2G, 3G, 4G",,
A135F/DSN,,Sí,"2G, 3G, 4G",,
A136U,A13 New,Sí,"2G, 4G",,
A136U,A13 New,Sí,"2G, 3G, 4G",,
A136U CHA,Spectrum,Sí,"2G, 3G, 4G",,
A136U1,A13 New,Sí,"2G, 3G, 4G",,
A136W,A13 New,Sí,"2G, 3G, 4G",,
A215U All Carrier,,Sí,"2G, 3G, 4G",,
A102U All Carrier,,Sí,"2G, 3G, 4G",,
A102U Cricket,,Sí,"2G, 4G",,
A107M Altice,,Sí,"2G, 3G, 4G",,
A225F,,Sí,"2G, 3G, 4G",,
A205U,Tmb -Tmk(Metro,Sí,"2G, 3G, 4G",,
A207M Aliv,,Sí,"2G, 3G, 4G",,
A217M/DS,,Sí,"2G, 3G, 4G",,
A315G Aliv,,Sí,"2G, 3G, 4G",,
A326U Tmb,,Sí,"2G, 3G, 4G",,
A326U Metro,,Sí,"2G, 3G, 4G",,
